id,tienda,tipo,latitud,longitud
STOP::DIV._DEL_NORTE,DIV. DEL NORTE,STOP,28.64502653,-106.0919398
STOP::DOMINICANA,DOMINICANA,STOP,28.64756228,-106.112833
STOP::DOSMIL,DOSMIL,STOP,28.67710391,-106.0798289
STOP::DOSTOIEVSKI,DOSTOIEVSKI,STOP,28.72698074,-106.1178693
STOP::DUMAS,DUMAS,STOP,28.73940694,-106.1182832
STOP::EL_QUIJOTE,EL QUIJOTE,STOP,28.72429451,-106.1262491
STOP::EL_TORREON,EL TORREON,STOP,28.65196254,-106.031139
STOP::ENTRONQUE,ENTRONQUE,STOP,28.74405832,-105.9832821
STOP::ESPERANZA,ESPERANZA,STOP,28.59026187,-106.1109507
STOP::ESTRELLA,ESTRELLA,STOP,28.66337426,-106.1098412
STOP::EVEREST,EVEREST,STOP,28.72126568,-106.0941474
STOP::FCO._PORTILLO,FCO. PORTILLO,STOP,28.60900319,-106.0172934
STOP::FERRETERA,FERRETERA,STOP,28.60265221,-106.0269476
STOP::FERROCARRIL,FERROCARRIL,STOP,28.59695144,-105.9359323
STOP::FLORES_MAGON,FLORES MAGON,STOP,28.61746566,-106.0807414
STOP::FORNARINA,FORNARINA,STOP,28.64141967,-106.0707152
STOP::FUENTES_MARES,FUENTES MARES,STOP,28.61979691,-106.0262449
STOP::GARCIA_VALDEZ,GARCIA VALDEZ,STOP,28.6503725,-106.0917643
STOP::GIRASOLES,GIRASOLES,STOP,28.6726315,-106.0105848
STOP::GOMEZ_MORIN,GOMEZ MORIN,STOP,28.64893854,-106.0766496
STOP::GRUTAS,GRUTAS,STOP,28.70992863,-106.0832082
STOP::GUADALUPE,GUADALUPE,STOP,28.61822532,-106.0926007
STOP::GUATEMALA,GUATEMALA,STOP,28.65699768,-106.11708
STOP::HACIENDAS,HACIENDAS,STOP,28.63718149,-106.1222656
STOP::HERMES,HERMES,STOP,28.67941047,-106.0891003
STOP::HUANCUNE,HUANCUNE,STOP,28.66226201,-106.1209821
STOP::IGLESIAS,IGLESIAS,STOP,28.66691447,-106.1113533
STOP::ILLINOIS,ILLINOIS,STOP,28.65545932,-105.9638315
STOP::IMPERIO,IMPERIO,STOP,28.75040635,-106.1314423
STOP::INDEPENDENCIA,INDEPENDENCIA,STOP,28.62804293,-106.0624875
STOP::INDUSTRIAL,INDUSTRIAL,STOP,28.66021047,-106.0723268
STOP::INFONAVIT,INFONAVIT,STOP,28.68029789,-106.1210687
