tienda,direccion,ciudad,latitud,longitud
GUATEMALA,"AV. FRANCISCO VILLA NO. 7700, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65699768,-106.11708
HACIENDAS,"CALLE HACIENDA LOS MORALES NO. 2001, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63718149,-106.1222656
HERMES,"AV. DE LAS INDUSTRIAS # 6306, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67941047,-106.0891003
HUANCUNE,"AV. FRANCISCO VILLA # 5102 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.66226201,-106.1209821
IGLESIAS,"AV. JOSE MARIA IGLESIAS No. 5506, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66691447,-106.1113533
ILLINOIS,"CIRCUITO PRADERAS PATAGONICAS NO. 12349, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65545932,-105.9638315
IMPERIO,"CALLE REY HUGO CAPETO # 18501 ESQ. AV. IMPERIO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.75040635,-106.1314423
INDEPENDENCIA,"AV. INDEPENDENCIA NO. 3801 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.62804293,-106.0624875
INDUSTRIAL,"AV. DE LA JUNTA Y TABASCO # 39 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.66021047,-106.0723268
INFONAVIT,"CALLE PEDRO DE ALVARADO NO,. 8100, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68029789,-106.1210687
INSURGENTES,"AV. INSURGENTES Y CARBONEL, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65304045,-106.0979565
INTERAMERICANA,"HEROICO COLEGIO MILITAR NO. 4505, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67250833,-106.0786886
ISABELLA,"AV HACIENDA DEL REAL ESQ CON HACIENDA ISABELLA FRAC HACIENDAS DEL REAL, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59044654,-106.1530223
J. DEL NORTE,"CALLE AMERICA LATINA NO. 7920, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68809179,-106.0977432
JARDINES DE ORIENTE,"CALLE PARQUE ESPAÑA NO. 9948, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66650475,-105.9843237
JESUS RENTERIA,"JESUS RENTERIA S/N COL. TORIBIO ORTEGA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59572312,-106.0121416
JIMENEZ,"AV. TECNOLOGICO ESQ CON CALLE CD JIMENEZ NO. 10506, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69501501,-106.1165006
JUAN ESCUTIA,"AV. JUAN ESCUTIA NO. 1900, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68309284,-106.101065
JUAN PABLO II,"PERIF. L. TOLEDANO Y BLVD. JUAN PABLO II, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64508807,-106.0147149
JUAREZ,"AV. JUAREZ NO. 5113, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65353514,-106.060696
JUVENTUD,"PERIFERICO DE LA JUVENTUD NO. 9701, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69805192,-106.1310554
KARIKE,"AV. TECNOLOGICO # 6901, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67846691,-106.1052271
KENNEDY,"CALLE JOHN F. KENNEDY Y CALLE 15 NO. 1307, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60303265,-106.0189509
KIOSKO,"CARRETERA CHIHUAHUA-DELICIAS KM 209, CHIHUAHUA, MEXICO",CHIHUAHUA,28.58395436,-105.9597531
KOP,"BOULEVARD JOSE FUENTES MARES NO. 7808, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62079711,-106.0334846
LA CAÑADA,"CALLE JUAN BERNARDO A 25.28 MTS A LATERAL ORTIZ MENA NO. 4029, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62090919,-106.1017007
LA GALERA ,"AV. JUAN PABLO II, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66488988,-106.0022851
LADERAS,"C. CINCO DE OROS # 1001 COL. LADERAS DE SAN GUILLERMO , CHIHUAHUA, MEXICO",,28.60722051,-105.9332477
LA LEONA,"INST , CHIHUAHUA, MEXICO",CHIHUAHUA,28.69959127,-106.1205845
LAS AGUILAS,"FRAY FRANCISCO DE JIMENEZ LOTE 1 MANZANA 20 A, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66072356,-106.112908
LAS MISIONES,"AV. DE LA JUVENTUD NO. 4301, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65344139,-106.1299244
LENNY ROMO,"CALLE EDUARDO SOLIS # 15330 ESQ. V. LOS NOGALES, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73227215,-106.1163605
LEON,"AV. CLUB DE LEONES Y CALLE BOTFWANA No. 1100, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67794101,-106.035616
LERDO,"AV OCAMPO S/N COL. CENTRO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62800767,-106.073048
LINCE,"AV. MIRADOR NO. 4304 Y CALLE TENNESSE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64188279,-106.1024725
LLORONES,"CARR A CUAUHTEMOC, CHIHUAHUA, MEXICO",CHIHUAHUA,28.58589142,-106.1149216
LOS HUERTOS,"AV. CAFETALES NO. 800, CHIHUAHUA, MEXICO",CHIHUAHUA,28.71758125,-106.1469828
LOS LLANOS ,"PERIFERICO R ALMADA S/N COL. LIBERTAD, CHIHUAHUA, MEXICO",,28.59693627,-106.0182127
LOS PORTALES,"CALLE PUERTA DE HIERRO # 17101 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.73563756,-106.1364926
LOZANO,"CALLE RIVAPALACIO NO. 1913, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64903712,-106.0815519
LUCERO,"CALLE IGNACIO RODRIGUEZ NO.7915, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67716092,-106.1268424
MARMOL,"AV. NUEVA ESPANA # 2215, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60886412,-106.0332714
MASCOTAS,"MASCOTAS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63266326,-105.9740759
MAJALCA,"2014-06-22 00:00:00, CHIHUAHUA, MEXICO",CHIHUAHUA,28.86433444,-106.2255506
MAYA,"CALLE CHICHIMECA Y CALLE MAYA NO . 8016, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60646276,-106.0431512
MAYAGOITIA,"AV. NUEVA ESPAÑA ESQ. CON VIALIDAD CH-P # 2102, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62352282,-106.0296085
MEDICINA,"AV. UNIVERSIDAD ESQ. CON CALLE MEDICINA No. 913, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65770704,-106.0935542
MELCHOR GUASPE,"CALLE MELCHOR GUASPE # 1401, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61831478,-106.0583687
MER,"PERIFERICO ORTIZ MENA NO. 5007, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61300453,-106.1072503
MERAZ,"PERIF. FRANCISCO R. ALMADA NO. 3601, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59744544,-106.0320215
MERCURIO,"CALLE MERCURIO Y AV. DE LAS INDUSTRIAS NO. 4300, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66895678,-106.0844707
MINA,"AV. VENUSTIANO CARRANZA NO. 2209 Y CALLE MINA , CHIHUAHUA, MEXICO",CHIHUAHUA,28.63587115,-106.0680893
MINERAL,"AV. LOS NOGALES NO. 5309, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73658991,-106.0979636
MIRADOR,"AV. MIRADOR NO. 1800, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63405623,-106.0870356
MISION,"CALLE MISION DE STA. BARBARA NO. 3038, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60185433,-106.0385728
MOHINORA,"CALLE MOHINORA Y  PASEOS DEL REAL, CHIHUAHUA, MEXICO",CHIHUAHUA,28.7402795,-106.1245186
